model_path,sim_f_name,0,0,score,dataset
albert-base-v2,LINEAR,5.446305081129178e-16,0.22345422894675881,0.6998397647730737,20ng
microsoft/mpnet-base,LINEAR,4.827487375312177e-15,0.2224353895652097,0.6832225593904808,20ng
bert-base-uncased,LINEAR,4.5129563083613345e-14,0.22920238321271025,0.6649826974244161,20ng
microsoft/mpnet-base,COSINE,1.8502341698755754e-11,0.2445332458032055,0.6086224254251555,20ng
albert-base-v2,COSINE,9.759500854970557e-11,0.3246750203455962,0.5908152718813501,20ng
bert-base-uncased,COSINE,4.721448977924096e-10,0.29602814213815537,0.5728698920359895,20ng
roberta-base,LINEAR,2.7849002605520753e-07,0.30501336647184246,0.48695924069994456,20ng
roberta-base,COSINE,0.0020889900062022876,0.3712554463743509,0.30422407004420615,20ng
albert-base-v2,COSINE,8.404706027345782e-12,0.22758294615388747,0.6167012297140424,nyt
microsoft/mpnet-base,LINEAR,3.858502351588082e-08,0.31111352539062936,0.5162142173519177,nyt
microsoft/mpnet-base,COSINE,5.387734991031894e-08,0.3060458561285581,0.5114611288550949,nyt
roberta-base,COSINE,1.468098726253248e-06,0.32810293664794477,0.46005335604728553,nyt
roberta-base,LINEAR,1.0599219554093501e-05,0.3540705516922946,0.42475327203426494,nyt
albert-base-v2,LINEAR,0.0001045767396040649,0.3341761774814689,0.37821261383620736,nyt
bert-base-uncased,COSINE,0.0001260178381746922,0.33518839656884647,0.37409567102204005,nyt
bert-base-uncased,LINEAR,0.17559626018631272,0.4323711404545818,0.1365252654220003,nyt
albert-base-v2,COSINE,0.013086559129334461,0.3385747569910495,0.2473809696852057,genomics
bert-base-uncased,LINEAR,0.019315462990076138,0.3778978501242577,0.23362857436126422,genomics
albert-base-v2,LINEAR,0.022370414232145207,0.3483063670218078,0.2282477244877919,genomics
microsoft/mpnet-base,LINEAR,0.1694206066950985,0.40891132076733816,0.13848481928824904,genomics
bert-base-uncased,COSINE,0.2888471614217638,0.402519049796919,0.10710653738100268,genomics
microsoft/mpnet-base,COSINE,0.4154986632029962,0.39652826361099053,0.08232219873388195,genomics
roberta-base,LINEAR,0.220116532130036,0.370935262697937,-0.12370549837461589,genomics
roberta-base,COSINE,0.0913528836685869,0.404786670162782,-0.16973698752658592,genomics
